ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,2488.jpg, 0.332, 0.313, 0.287, 0.232, 0.404, 0.267
iaps,2489.jpg, 0.329, 0.233, 0.324, 0.205, 0.414, 0.274
iaps,2490.jpg, 0.293, 0.200, 0.294, 0.201, 0.658, 0.287
iaps,2491.jpg, 0.242, 0.320, 0.568, 0.346, 0.276, 0.258
iaps,2493.jpg, 0.441, 0.288, 0.469, 0.222, 0.381, 0.300
iaps,2495.jpg, 0.184, 0.305, 0.207, 0.234, 0.178, 0.218
iaps,2499.jpg, 0.565, 0.354, 0.756, 0.248, 0.255, 0.313
iaps,2500.jpg, 0.262, 0.228, 0.420, 0.297, 0.433, 0.336
iaps,2501.jpg, 0.401, 0.220, 0.441, 0.267, 0.601, 0.208
iaps,2506.jpg, 0.257, 0.255, 0.337, 0.230, 0.721, 0.281
iaps,2510.jpg, 0.049, 0.085, 0.215, 0.247, 0.250, 0.303
iaps,2511.jpg, 0.365, 0.254, 0.351, 0.198, 0.473, 0.291
iaps,2512.jpg, 0.252, 0.337, 0.373, 0.203, 0.650, 0.306
iaps,2513.jpg, 0.234, 0.262, 0.374, 0.153, 0.339, 0.216
iaps,2514.jpg, 0.086, 0.066, 0.710, 0.323, 0.657, 0.278
iaps,2515.jpg, 0.231, 0.193, 0.487, 0.212, 0.454, 0.202
iaps,2516.jpg, 0.159, 0.250, 0.276, 0.324, 0.324, 0.369
iaps,2518.jpg, 0.045, 0.099, 0.292, 0.313, 0.228, 0.266
iaps,2520.jpg, 0.080, 0.079, 0.525, 0.233, 0.426, 0.226
iaps,2521.jpg, 0.170, 0.235, 0.204, 0.102, 0.483, 0.273
iaps,2525.jpg, 0.263, 0.180, 0.304, 0.178, 0.507, 0.260
iaps,2530.jpg, 0.115, 0.128, 0.583, 0.231, 0.683, 0.322
iaps,2540.jpg, 0.070, 0.195, 0.785, 0.245, 0.598, 0.291
iaps,2550.jpg, 0.166, 0.311, 0.503, 0.219, 0.567, 0.215
iaps,2560.jpg, 0.216, 0.259, 0.590, 0.388, 0.441, 0.346
iaps,2570.jpg, 0.157, 0.272, 0.264, 0.330, 0.142, 0.232
iaps,2575.jpg, 0.145, 0.139, 0.643, 0.304, 0.522, 0.403
iaps,2579.jpg, 0.623, 0.272, 0.343, 0.251, 0.515, 0.322
iaps,2580.jpg, 0.163, 0.320, 0.201, 0.239, 0.153, 0.214
iaps,2590.jpg, 0.360, 0.363, 0.409, 0.225, 0.539, 0.315
iaps,2593.jpg, 0.307, 0.385, 0.481, 0.294, 0.381, 0.346
iaps,2594.jpg, 0.241, 0.347, 0.459, 0.275, 0.476, 0.294
iaps,2595.jpg, 0.681, 0.319, 0.255, 0.174, 0.467, 0.352
iaps,2597.jpg, 0.479, 0.322, 0.335, 0.204, 0.357, 0.280
iaps,2598.jpg, 0.252, 0.351, 0.489, 0.200, 0.489, 0.250
iaps,2600.jpg, 0.105, 0.216, 0.243, 0.293, 0.216, 0.280
iaps,2605.jpg, 0.593, 0.386, 0.586, 0.384, 0.235, 0.265
iaps,2606.jpg, 0.234, 0.349, 0.413, 0.380, 0.220, 0.308
iaps,2616.jpg, 0.081, 0.081, 0.884, 0.212, 0.734, 0.266
iaps,2620.jpg, 0.122, 0.188, 0.417, 0.316, 0.586, 0.289
iaps,2630.jpg, 0.221, 0.249, 0.385, 0.406, 0.468, 0.319
iaps,2635.jpg, 0.643, 0.157, 0.386, 0.208, 0.565, 0.229
iaps,2650.jpg, 0.436, 0.416, 0.649, 0.349, 0.296, 0.281
iaps,2655.jpg, 0.361, 0.243, 0.162, 0.175, 0.516, 0.313
iaps,2660.jpg, 0.123, 0.192, 0.408, 0.179, 0.583, 0.142
iaps,2661.jpg, 0.458, 0.421, 0.679, 0.286, 0.587, 0.245
iaps,2681.jpg, 0.475, 0.450, 0.317, 0.334, 0.215, 0.246
iaps,2682.jpg, 0.460, 0.402, 0.274, 0.312, 0.201, 0.221
iaps,2683.jpg, 0.482, 0.316, 0.290, 0.294, 0.458, 0.292
iaps,2688.jpg, 0.521, 0.086, 0.142, 0.120, 0.847, 0.158
iaps,2690.jpg, 0.147, 0.340, 0.704, 0.446, 0.282, 0.262
iaps,2691.jpg, 0.360, 0.356, 0.542, 0.246, 0.362, 0.282
iaps,2692.jpg, 0.365, 0.265, 0.281, 0.194, 0.418, 0.308
iaps,2694.jpg, 0.288, 0.262, 0.280, 0.200, 0.429, 0.340
iaps,2695.jpg, 0.312, 0.284, 0.260, 0.206, 0.630, 0.350
iaps,2700.jpg, 0.134, 0.211, 0.465, 0.364, 0.444, 0.331
iaps,2702.jpg, 0.051, 0.091, 0.258, 0.297, 0.263, 0.296
